codigo,nome,objetivo,descricao,responsavel,frequencia,categoria,checklist,pontos_atencao,indicadores,status,versao,arquivo_url,favorito,tags,historico_versoes,id,created_date,updated_date,created_by_id,is_sample
"POP 01","Limpeza da Clínica","Manter ambiente limpo e organizado","Limpar consultórios, chão, superfícies, organizar armários, descartar lixo e conferir materiais","Auxiliar","diaria","operacional","[""Limpar consultórios"",""Limpar chão"",""Higienizar superfícies"",""Organizar armários e gavetas"",""Descartar lixo corretamente"",""Conferir materiais""]","[]","[]","ativo","1.0","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/697e811fd4fc2230311435d7/90a4ea5d3_POP_01_Limpeza.pdf","true","[]","[]","69875fd7d53f83575aa7ac9b","2026-02-07T15:52:55.517000","2026-02-07T16:15:47.677000","697e811fd4fc2230311435d8","false"
"POP 02","Esterilização de Materiais","Garantir esterilização adequada dos instrumentos","Lavar, secar, empacotar, esterilizar e guardar instrumentos. Nunca pular etapas","Auxiliar","diaria","operacional","[""Lavar instrumentos"",""Secar completamente"",""Separar por tipo"",""Empacotar"",""Esterilizar"",""Armazenar corretamente""]","[""Nunca pular etapas"",""Verificar validade dos pacotes""]","[]","ativo","1.0","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/697e811fd4fc2230311435d7/73e8e3e9c_POP_02_Esterilizacao.pdf","true","[]","[]","69875fd7d53f83575aa7ac9c","2026-02-07T15:52:55.517000","2026-02-07T16:15:45.669000","697e811fd4fc2230311435d8","false"
"POP 03","Atendimento ao Paciente","Oferecer atendimento acolhedor e profissional","Acolher, escutar, entender necessidade, agendar avaliação, confirmar consulta e realizar follow-up","Recepção","diaria","clinico","[""Acolher o paciente"",""Escutar a necessidade"",""Explicar a avaliação"",""Agendar consulta"",""Confirmar dados"",""Realizar follow-up""]","[]","[]","ativo","1.0","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/697e811fd4fc2230311435d7/26324a375_POP_03_Atendimento.pdf","true","[]","[]","69875fd7d53f83575aa7ac9d","2026-02-07T15:52:55.517000","2026-02-07T16:15:42.399000","697e811fd4fc2230311435d8","false"
"POP 04","Avaliação e Diagnóstico","Realizar avaliação completa e diagnóstico preciso","Avaliação clínica, diagnóstico, planejamento e explicação clara ao paciente","Dentista","sob_demanda","clinico","[""Realizar avaliação clínica"",""Identificar necessidades"",""Definir diagnóstico"",""Planejar tratamento"",""Explicar plano ao paciente""]","[]","[]","ativo","1.0","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/697e811fd4fc2230311435d7/f62637172_POP_04_Avaliacao.pdf","true","[]","[]","69875fd7d53f83575aa7ac9e","2026-02-07T15:52:55.517000","2026-02-07T16:15:39.940000","697e811fd4fc2230311435d8","false"
"POP 05","Controle de Estoque & Compras","Garantir que nunca faltem materiais essenciais","Controlar estoque de materiais clínicos, limpeza e esterilização","Auxiliar / Recepção","semanal","administrativo","[""Conferir estoque de materiais clínicos"",""Conferir materiais de limpeza"",""Conferir materiais de esterilização"",""Verificar itens abaixo do estoque mínimo"",""Registrar necessidade de compra"",""Informar recepção/gestão"",""Acompanhar realização da compra"",""Organizar materiais recebidos""]","[]","[]","ativo","1.0","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/697e811fd4fc2230311435d7/83ffe45b8_POP_05_Estoque_Compras.pdf","true","[]","[]","69875fd7d53f83575aa7ac9f","2026-02-07T15:52:55.517000","2026-02-07T16:15:37.120000","697e811fd4fc2230311435d8","false"
"POP 06","Marketing & Conteúdo","Gerar demanda qualificada e fortalecer autoridade","Criar e publicar conteúdo alinhado com SEO e conversão","Maria","semanal","marketing","[""Definir objetivo do conteúdo"",""Escolher palavra-chave principal"",""Analisar intenção de busca"",""Validar alinhamento com serviços"",""Definir formato do conteúdo"",""Criar conteúdo educativo"",""Inserir CTA"",""Publicar no canal correto"",""Registrar no sistema"",""Analisar desempenho""]","[]","[]","ativo","1.0","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/697e811fd4fc2230311435d7/94f90ad16_POP_06_Marketing_Conteudo.pdf","true","[]","[]","69875fd7d53f83575aa7aca0","2026-02-07T15:52:55.517000","2026-02-07T16:15:33.927000","697e811fd4fc2230311435d8","false"
"POP 07","Agenda & Confirmação de Consultas","Garantir organização da agenda e reduzir faltas","Registrar, confirmar e acompanhar consultas agendadas","Maria / Recepção","diaria","administrativo","[""Registrar paciente na agenda"",""Confirmar data e horário"",""Enviar confirmação imediata"",""Enviar lembrete 24h antes"",""Confirmar presença no dia"",""Registrar faltas e cancelamentos"",""Oferecer reagendamento"",""Atualizar status no sistema""]","[""Confirmação reduz faltas"",""Toda falta deve ser registrada"",""Comunicação clara e cordial""]","[]","ativo","1.0","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/697e811fd4fc2230311435d7/ea72c7e21_POP_07_Agenda_Confirmacao_Consultas.pdf","true","[]","[]","69875fd7d53f83575aa7aca1","2026-02-07T15:52:55.517000","2026-02-07T16:15:30.006000","697e811fd4fc2230311435d8","false"
"POP 08","Pós-Atendimento & Fidelização","Acompanhar paciente e aumentar fidelização","Realizar follow-up pós-atendimento e manter relacionamento ativo","Maria / Recepção","apos_atendimento","clinico","[""Registrar atendimento no sistema"",""Enviar mensagem pós-atendimento"",""Reforçar orientações clínicas"",""Perguntar se ficou satisfeito"",""Manter canal aberto para dúvidas"",""Agendar ou confirmar retorno"",""Registrar feedback"",""Manter relacionamento ativo""]","[""Todo atendimento gera follow-up"",""Feedback deve ser registrado"",""Linguagem sempre humanizada""]","[]","ativo","1.0","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/697e811fd4fc2230311435d7/aded7d416_POP_08_Pos_Atendimento_Fidelizacao.pdf","true","[]","[]","69875fd7d53f83575aa7aca2","2026-02-07T15:52:55.517000","2026-02-07T16:15:26.048000","697e811fd4fc2230311435d8","false"
"POP 09","Auditoria & Qualidade","Garantir cumprimento de processos e manter padrão premium","Verificar cumprimento dos POPs, identificar falhas e promover melhorias","Maria","mensal","qualidade","[""Verificar cumprimento dos POPs"",""Conferir checklists diários"",""Avaliar limpeza e organização"",""Avaliar esterilização"",""Verificar agenda e confirmações"",""Avaliar qualidade do atendimento"",""Analisar registros"",""Identificar falhas"",""Registrar não conformidades"",""Definir ações corretivas"",""Acompanhar melhorias""]","[]","[]","ativo","1.0","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/697e811fd4fc2230311435d7/75db94de7_POP_09_Auditoria_Qualidade.pdf","true","[]","[]","69875fd7d53f83575aa7aca3","2026-02-07T15:52:55.517000","2026-02-07T16:15:22.687000","697e811fd4fc2230311435d8","false"
"POP 10","Gestão da Maria | Supervisão Geral","Centralizar gestão garantindo padrão, controle e crescimento","Supervisionar todos os processos, POPs, atendimentos e operações da clínica","Maria","diaria","gestao","[""Conferir agenda diária"",""Verificar execução dos POPs"",""Monitorar atendimentos"",""Acompanhar confirmações e faltas"",""Verificar estoque crítico"",""Analisar relatórios diários"",""Gerar relatório semanal"",""Identificar gargalos"",""Propor melhorias"",""Acompanhar ações corretivas""]","[]","[""Comparecimento"",""Conversão de avaliações"",""POPs em dia"",""Estoque crítico"",""Satisfação do paciente"",""Demanda por serviços""]","ativo","1.0","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/697e811fd4fc2230311435d7/82660901b_POP_10_Gestao_Maria_Supervisao_Geral.pdf","true","[]","[]","69875fd7d53f83575aa7aca4","2026-02-07T15:52:55.517000","2026-02-07T16:15:20.252000","697e811fd4fc2230311435d8","false"
